"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4517517";"";"0";"363.93";"0";"3.92";"36";"CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCc3cc(Cl)ccc3C2)CC1";"EC50";"'='";"16.6";"nM";"7.78";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4394476";"Partial agonist activity at D2L receptor (unknown origin) expressed in human HTLA cells assessed as beta-arrestin2 recruitment after 20 to 22 hrs by brightglo-luciferase reporter gene assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393669";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4098236";"";"0";"408.50";"0";"3.14";"14b";"COc1ccccc1N1CCN(CCCCOc2ccn3ncc(C=O)c3c2)CC1";"EC50";"'='";"17.0";"nM";"7.77";"";"";"UO_0000065";"19.02";"0.35";"4.63";"13.10";"False";"CHEMBL4010159";"Agonist activity at human Dopamine D2S receptor expressed in HEK293T cell membranes coexpressing GalphaoA incubated for 30 mins measured after 75 mins by [35S]GTPgammaS binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3706569";""
"CHEMBL59";"DOPAMINE";"4";"153.18";"0";"0.60";"Dopamine";"NCCc1ccc(O)c(O)c1";"EC50";"'='";"2.8";"nM";"8.55";"";"";"UO_0000065";"55.84";"1.06";"7.95";"12.87";"False";"CHEMBL4010168";"Agonist activity at N-terminal flag-tagged D2S receptor (unknown origin) expressed in HEK293 cells coexpressing renilla luciferase 2-tagged Galphai1 after 10 mins by BRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL3613874";"";"0";"484.39";"0";"3.79";"44";"O=Cc1cnn2ccc(-n3cc(CCCN4CCN(c5cccc(Cl)c5Cl)CC4)nn3)cc12";"EC50";"'='";"954.99";"nM";"6.02";"";"";"UO_0000065";"12.43";"0.25";"2.23";"8.41";"False";"CHEMBL3614299";"Activity at dopamine D2S receptor (unknown origin) expressed in HEK293 cell membranes co-expressing Galpha protein subunit Galphai2 by [35S]GTPgammaS binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3612016";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2015";"CHEMBL3307715";""
"CHEMBL3613877";"";"0";"431.50";"0";"2.10";"54";"COc1ccccc1N1CCN(CCc2cn(-c3ccn4ncc(C=O)c4c3)nn2)CC1";"EC50";"'='";"549.54";"nM";"6.26";"";"";"UO_0000065";"14.51";"0.27";"4.16";"7.75";"False";"CHEMBL3614297";"Activity at dopamine D2S receptor (unknown origin) expressed in HEK293 cell membranes co-expressing Galpha protein subunit Galphao1 by [35S]GTPgammaS binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3612016";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2015";"CHEMBL3307715";""
"CHEMBL4464861";"";"0";"323.44";"0";"3.60";"15; CAB02-120";"Cc1cccc(NC(=O)CCN2CCC(c3ccccn3)CC2)c1";"EC50";"'='";"2480.0";"nM";"5.61";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4392184";"Agonist activity at human D2L receptor expressed in CHOK1 cells assessed as induction of beta-arrestin recruitment measured after 90 mins by luminescence assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390675";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4443848";"";"0";"358.87";"0";"3.06";"22; CAB02-019HP";"CCc1cccc(NC(=O)CN2CCN(c3ccc(Cl)cn3)CC2)c1";"EC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL4392174";"Agonist activity at human D2L receptor expressed in CHOK1 cells assessed as inhibition of forskolin-induced cAMP accumulation measured after 30 mins by Eu-cAMP tracer based TR-FRET assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4390675";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL3088209";"";"0";"358.53";"0";"4.52";"20";"CC(C)(C)OC(=O)N[C@H]1CC[C@H](CCN2CCc3ccccc3C2)CC1";"EC50";"'='";"195.0";"nM";"6.71";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4394476";"Partial agonist activity at D2L receptor (unknown origin) expressed in human HTLA cells assessed as beta-arrestin2 recruitment after 20 to 22 hrs by brightglo-luciferase reporter gene assay";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393669";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL399396";"";"0";"396.92";"0";"4.92";"24";"CCOC(=O)C1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1";"EC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL902499";"Antagonist activity at human dopamine D2 receptor expressed in CHO cells assessed as inhibition of quinpirole stimulated mitogenesis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138415";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL1765633";"";"0";"430.60";"0";"4.79";"(S)-5a";"CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)[C@H]1CCn2nccc2C1";"EC50";"'='";"370.0";"nM";"6.43";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1769076";"Agonist activity at human dopamine D2long receptor expressed in HEK293 cells co-expressing Galphai2 assessed as incorporation of [35S]GTPgammaS into Galphai2 after 30 mins by scintillation counting";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1765048";"1";"Scientific Literature";"J. Med. Chem.";"2011";"CHEMBL3307715";""
"CHEMBL3287403";"";"0";"462.38";"0";"4.43";"8b, s-cis isomer";"O/N=C/c1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12";"EC50";"'='";"234.42";"nM";"6.63";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3293227";"Agonist activity at human dopamine D2 short receptor transiently expressed in HEK293 cells co-expressing Galphai2 after 30 mins by [35S]GTPgammaS binding assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286313";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307715";""
"CHEMBL3099228";"";"0";"295.81";"0";"1.97";"10a";"Cl.Oc1cccc2c1C[C@H]1OCCN(CC3CC3)[C@@H]1C2";"EC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3100268";"Agonist activity at human dopamine D2 receptor expressed in CHO cells assessed as increase of forskolin-induced cAMP production after 20 mins";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3098045";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2014";"CHEMBL3308072";""
"CHEMBL4072821";"";"0";"452.56";"0";"3.50";"12c";"CCOC(=O)c1cc2cc(OCCCCN3CCN(c4ccccc4OC)CC3)ccn2n1";"EC50";"'='";"691.83";"nM";"6.16";"";"";"UO_0000065";"13.61";"0.25";"2.66";"8.99";"False";"CHEMBL4010165";"Agonist activity at human Dopamine D2S receptor expressed in HEK293T cell membranes coexpressing Galphai2 incubated for 30 mins measured after 75 mins by [35S]GTPgammaS binding assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4007455";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3706569";""
"CHEMBL3134065";"";"0";"758.96";"2";"6.63";"7b";"CN1CCc2cccc3c2[C@H]1Cc1ccc(OCCCNC(=O)CCCCC(=O)NCCCOc2ccc4c(c2O)-c2cccc5c2[C@@H](C4)N(C)CC5)c(O)c1-3";"EC50";"'='";"149.0";"nM";"6.83";"";"";"UO_0000065";"8.99";"0.17";"0.20";"5.52";"False";"CHEMBL3136960";"Agonist activity at human recombinant dopamine D2L receptor expressed in CHOFlpIn cells assessed as ERK1/2 phosphorylation by alphascreen assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3132795";"1";"Scientific Literature";"MedChemComm";"2013";"None";""
"CHEMBL246643";"";"0";"376.28";"1";"5.22";"33";"OC1(c2ccc(Cl)c(Cl)c2)CCN(Cc2coc3ccccc23)CC1";"EC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL902499";"Antagonist activity at human dopamine D2 receptor expressed in CHO cells assessed as inhibition of quinpirole stimulated mitogenesis";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138415";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"CHEMBL3308072";""
"CHEMBL2180638";"";"0";"295.43";"0";"3.89";"3";"Oc1cccc(CCN(CCc2ccccc2)CC2CC2)c1";"EC50";"'='";"181.0";"nM";"6.74";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2182831";"Agonist activity at human dopamine D2 receptor expressed in CHOp cells assessed as stimulation of mitogenesis incubated for 24 hrs by [3H]thymidine incorporation assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHOp";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2177058";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL3978288";"";"0";"452.60";"0";"4.12";"BDBM185687";"CC(C)Oc1ccccc1N1CCCN(CCCCOc2ccc3c(n2)NC(=O)CC3)CC1";"EC50";"'='";"0.2";"nM";"9.70";"";"334947";"UO_0000065";"21.43";"0.40";"5.58";"14.49";"False";"CHEMBL3887360";"cAMP GloSensor Assay: HEK293T cells co-expressing the cAMP biosensor GloSensor-22F (Promega) and hD2 receptors were seeded (10,000 cells/20 ul/well) into white, clear-bottom, tissue culture plates in HBSS, 10% FBS, 20 mM HEPES, pH 7.4. After a one- to two-hour recovery, cells were treated with 10 ul of 3x test or reference drug prepared in HBSS, 10% FBS, 20 mM HEPES, pH 7.4. After 30 minutes, cells were challenged with 10 ul of 1,200 nM (4x) isoproterenol in 8% (4x) GloSensor reagent. Luminescence per well per second was read on a Wallac TriLux microbeta plate counter. Data were normalized to the isoproterenol response (100%) and the maximal quinpirole-induced inhibition thereof (0%) and regressed using the sigmoidal dose-response function built into GraphPad Prism 4.0. Notably, HEK293T cells expressing the GloSensor-22F alone (no hD2) were assayed in parallel and displayed no inhibition of isoproterenol-stimulated cAMP.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886292";"37";"BindingDB Database";"";"2015";"CHEMBL3706569";""
"CHEMBL2165116";"";"0";"405.33";"0";"4.46";"41";"Clc1cccc(N2CCN(CCCOc3ccc4cn[nH]c4c3)CC2)c1Cl";"EC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"False";"CHEMBL2169116";"Agonist activity at human D2L receptor expressed in HEK293T cells coexpressing Gi subunit assessed as inhibition of isoproterenol-stimulated cAMP production by luminescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163335";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3706569";""
"CHEMBL1077197";"";"0";"260.34";"0";"1.47";"26";"O=C1N(CC2CCCCN2)CCN1c1cccnc1";"EC50";"'='";"501.19";"nM";"6.30";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1106075";"Partial agonistic activity at human dopamine D2 receptor expressed in CHO cells by assay [35S]GTPgamma assay with scintillation proximity affinity assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155385";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308072";""
"CHEMBL4092441";"";"0";"433.51";"0";"2.86";"16a";"O=c1ccc2c(N3CCN(CCCCOc4ccn5nccc5c4)CC3)ccc(O)c2[nH]1";"EC50";"'='";"240.0";"nM";"6.62";"";"";"UO_0000065";"15.27";"0.28";"3.76";"7.69";"False";"CHEMBL4015816";"Partial agonist activity at human D2SR expressed in HEK293T cells co-expressing (EA)beta-arrestin2 assessed as induction of beta-arrestin2 recruitment after 5 hrs by chemiluminescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK-293T";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4014323";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3706569";""
"CHEMBL437687";"";"0";"338.46";"0";"2.95";"53a";"CO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1C";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL866786";"Agonist activity at human recombinant D2 receptor expressed in HEK293 cells by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145336";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307715";""
"CHEMBL385826";"";"0";"324.43";"0";"2.64";"31b";"CO/N=C(/CCN1CCN(c2ccccn2)CC1)c1ccccc1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL866786";"Agonist activity at human recombinant D2 receptor expressed in HEK293 cells by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145336";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307715";""
"CHEMBL215705";"";"0";"360.41";"0";"2.92";"61b";"CO/N=C(/CCN1CCN(c2ccccn2)CC1)c1cc(F)cc(F)c1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL866786";"Agonist activity at human recombinant D2 receptor expressed in HEK293 cells by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145336";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307715";""
"CHEMBL213572";"";"0";"338.46";"0";"3.03";"32b";"CCO/N=C(/CCN1CCN(c2ccccn2)CC1)c1ccccc1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL866786";"Agonist activity at human recombinant D2 receptor expressed in HEK293 cells by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145336";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307715";""
"CHEMBL209447";"";"0";"342.42";"0";"3.00";"75a";"O/N=C(\CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL866786";"Agonist activity at human recombinant D2 receptor expressed in HEK293 cells by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145336";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307715";""
"CHEMBL427048";"";"0";"342.42";"0";"2.78";"58b";"CO/N=C(/CCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1";"EC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL866786";"Agonist activity at human recombinant D2 receptor expressed in HEK293 cells by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145336";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307715";""
"CHEMBL301265";"PRAMIPEXOLE";"4";"211.33";"0";"1.58";"Pramipexole";"CCCN[C@H]1CCc2nc(N)sc2C1";"EC50";"'='";"7.079";"nM";"8.15";"";"";"UO_0000065";"38.57";"0.80";"6.57";"16.00";"False";"CHEMBL3880775";"Agonist activity at dopamine D2 receptor short isoform (unknown origin) expressed in mouse NIH/3T3 cells by R-SAT assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH/3T3";"None";"";"";"";"CHEMBL217";"Dopamine D2 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3880399";"38";"Patent Bioactivity Data";"";"2004";"None";""
